,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
25892,25892,344111.25,4482830.46,2107.14,302.1165502,92.86740433,46.21228656,37.78643092,30.01517493
25897,25897,344111.5,4482830.3,2107.12,248.4655762,93.64345506,46.95764602,37.46254723,29.35584577
25902,25902,344111.73,4482830.14,2107.09,292.8815465,94.16082222,44.34888791,36.49089615,28.4453436
25907,25907,344111.95,4482830.01,2107.09,264.2970112,89.11649246,44.34888791,37.354586,30.04657156
25912,25912,344112.14,4482829.92,2107.12,354.0084758,80.45059261,47.33032575,38.00235338,30.51752095
25917,25917,344112.32,4482829.79,2107.13,284.0863048,93.38477148,46.95764602,37.57050846,30.07796818
25922,25922,344112.5,4482829.63,2107.12,322.785368,91.57398644,49.1937244,36.92274107,30.4547277
25927,25927,344112.69,4482829.5,2107.13,209.3267509,88.85780888,46.95764602,37.57050846,30.32914119
25932,25932,344112.88,4482829.4,2107.17,313.1106022,93.77279685,50.31176359,39.51381062,31.71059276
25937,25937,344113.09,4482829.26,2107.19,237.0317621,114.2087995,49.56640413,38.86604323,31.20824674
25942,25942,344113.32,4482829.07,2107.21,328.5022751,86.2709731,47.33032575,36.70681861,29.32444915
25947,25947,344113.56,4482828.9,2107.22,299.0382156,74.50087033,43.23084872,35.6272063,29.32444915
25952,25952,344113.83,4482828.75,2107.22,270.0139182,87.56439099,45.83960683,35.19536137,28.94768963
25957,25957,344114.11,4482828.53,2107.21,268.694632,90.02188498,46.58496629,36.38293492,28.47674023
25962,25962,344114.4,4482828.23,2107.19,299.4779777,82.64940302,47.70300548,35.51924507,27.88020433
25967,25967,344114.69,4482827.96,2107.18,331.1408476,75.27692106,44.34888791,33.36002044,26.43595951
25972,25972,344114.98,4482827.71,2107.19,223.3991375,70.2325913,42.85816899,32.82021429,25.87082023
25977,25977,344115.27,4482827.45,2107.17,310.9117918,84.07216269,40.24941087,31.95652444,25.49406071
25982,25982,344115.56,4482827.19,2107.14,254.1824833,80.06256724,38.01333249,34.87147768,26.90690891
25987,25987,344115.86,4482826.94,2107.12,251.5439108,97.00634157,42.85816899,34.43963275,27.56623806
25992,25992,344116.17,4482826.69,2107.11,268.2548699,76.18231358,41.7401298,33.46798167,26.87551228
25997,25997,344116.49,4482826.45,2107.13,268.2548699,88.98715067,48.44836494,38.11031462,31.0512636
26002,26002,344116.79,4482826.2,2107.16,278.8091598,89.11649246,46.58496629,39.40584939,32.02455903
26007,26007,344117.12,4482825.96,2107.18,244.9474796,91.70332823,47.70300548,40.16157801,33.28042409
26012,26012,344117.47,4482825.72,2107.19,259.4596283,79.02783293,46.95764602,38.21827585,30.95707372
26017,26017,344117.84,4482825.48,2107.19,259.4596283,85.88294774,49.56640413,41.24119032,34.53628915
26022,26022,344118.23,4482825.23,2107.18,222.9593755,84.97755521,48.07568521,42.5367251,36.42008673
26027,26027,344118.61,4482825.01,2107.19,316.6286989,88.98715067,51.05712305,44.69594972,38.61785059
26032,26032,344118.96,4482824.81,2107.21,271.3332045,96.87699978,55.52927982,48.04274789,42.0714795
26037,26037,344119.28,4482824.61,2107.25,263.8572491,92.22069539,53.66588117,48.25867035,41.75751324
26042,26042,344119.57,4482824.41,2107.31,300.3575019,100.2398863,51.80248251,45.45167834,38.93181685
26047,26047,344119.88,4482824.16,2107.34,364.1230037,94.03148043,48.82104467,39.83769432,33.28042409
26052,26052,344120.21,4482823.84,2107.36,280.5682082,100.4985699,46.21228656,37.0307023,30.54891758
26057,26057,344120.53,4482823.56,2107.38,349.610855,98.55844303,44.72156764,34.87147768,28.53953348
26062,26062,344120.85,4482823.33,2107.4,273.9717769,99.98120271,44.72156764,33.36002044,25.87082023
